Allegro Report
C:/tmp/20_051837b/worklib/02_051837b_top/physical/08_051837b.brd
Fri Mar 15 19:58:10 2019

SYM_NAME,SYM_LIBRARY_PATH,SYM_TYPE
TPSMC40,Z:/allegro/v172_site/physical/psm/tpsmc40.psm,PACKAGE
TOOLCORN,Z:/allegro/v172_site/physical/bsm/toolcorn.bsm,MECHANICAL
DATUM_REFERENCE,,DRAFTING
DATUM_DIMENSION,,DRAFTING
LINEAR_DIMENSION,,DRAFTING
ASSY_NOTES_2016JUL20,Z:/allegro/v172_site/physical/osm/assy_notes_2016jul20.osm,FORMAT
CSIZE,Z:/allegro/v172_site/physical/osm/csize.osm,FORMAT
NC_DRILL_TOL,Z:/allegro/v172_site/physical/osm/nc_drill_tol.osm,FORMAT
LEADER,,DRAFTING
2_LAYER_STACKUP,Z:/allegro/v172_site/physical/osm/2_layer_stackup.osm,FORMAT
FAB_NOTES_2014MAR25,Z:/allegro/v172_site/physical/osm/fab_notes_2014mar25.osm,FORMAT
WHEELIEBIN1-2,Z:/allegro/v172_site/physical/bsm/wheeliebin1-2.bsm,MECHANICAL
CHINA_ROHS_QTR,Z:/allegro/v172_site/physical/bsm/china_rohs_qtr.bsm,MECHANICAL
ADILOGOTAG_750X300,Z:/allegro/v172_site/physical/bsm/adilogotag_750x300.bsm,MECHANICAL
C0805L,Z:/allegro/v172_site/physical/psm/c0805l.psm,PACKAGE
C0603L,Z:/allegro/v172_site/physical/psm/c0603l.psm,PACKAGE
C0402L,Z:/allegro/v172_site/physical/psm/c0402l.psm,PACKAGE
R0402L,Z:/allegro/v172_site/physical/psm/r0402l.psm,PACKAGE
R0603L,Z:/allegro/v172_site/physical/psm/r0603l.psm,PACKAGE
SOT23_B,Z:/allegro/v172_site/physical/psm/sot23_b.psm,PACKAGE
SC70-5,Z:/allegro/v172_site/physical/psm/sc70-5.psm,PACKAGE
QFN32_5X5_PAD3_7X3_7,Z:/allegro/v172_site/physical/psm/qfn32_5x5_pad3_7x3_7.psm,PACKAGE
LYR_LBL,z:/allegro/v162_site/physical/osm/lyr_lbl.osm,FORMAT
DSIZEM,Z:/allegro/v157_site/physical/osm/dsizem.osm,FORMAT
DSIZE2,Z:/allegro/v157_site/physical/osm/dsize2.osm,FORMAT
