TITLE: Bill of Materials,,,,,,,,,,,,,,,,,,,
BOM NO: 05-059358-01-c.csv,,,,,,,,,,,,,,,,,,,
DATE: 08/04/2021,,,,,,,,,,,,,,,,,,,
DESIGN: 02_059358c_top,,,,,,,,,,,,,,,,,,,
TEMPLATE: Z:\allegro\v172_site\cdssetup\template.bom,,,,,,,,,,,,,,,,,,,
CALLOUT: C:\tmp\20_059358c\worklib\02_059358c_top\bom\bom.callouts,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ITEM#,Qty,WW_PN,DESCRIPTION, VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG, MFG_PN,HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
1,1,08-059358b,PCB,?,?,?,?,?,?,Analog Devices Supplied,08-059358b,N/A,?,?,?,?,?,?,?
2,1,E006651,IC-ADI PREC LOW NOISE CMOS RAIL TO RAIL IN/OUT OP-AMP, AD8605ARTZ,SOT23-5L,N/A,N/A,?,A1,ADI, AD8605ARTZ-REEL7,REL,A999-8605-001,40901JH759,N/A,N/A,1002663,?,?
3,1,E030558,"IC-ADI 1MA, 180MEGHZ RAIL TO RAIL INPUT/OUPUT AMPLIFIERS", ADA4807-2ACPZ,DFN10_3X3_PAD2_38X1_64,N/A,N/A,?,A2,ANALOG DEVICES, ADA4807-2ACPZ-R7,REL,N/A,N/A,N/A,N/A,N/A,?,?
4,1,E031217,IC-ADI 180MEGHZ RAIL TO RAIL I/O AMP, ADA4807-1ARJZ,SOT23_6-2,N/A,N/A,?,A3,ANALOG DEVICES, ADA4807-1ARJZ-R2,REL,N/A,N/A,N/A,N/A,N/A,?,?
6,6,E011547,CAP CER 0.1uF 16V 10% X7R 0603, 0.1uF,C0603,10,16V,N/A,"C1,C14,C16,C19,C20,C25",KEMET, C0603C104K4RAC,REL,N/A,N/A,N/A,N/A,N/A,?,?
7,2,E023659,CAP CER 100pF 100V 1% C0G 0603 EXTREME LOW ESR, 100pF,C0603,1,100V,N/A,"C8,C10",KEMET, C0603C101F1GACTU,REL,N/A,N/A,N/A,N/A,N/A,?,?
9,6,E025743,CAP CER 1uF 25V 10% X7R 0603 AEC-Q200 EPOXY MOUNTING, 1uF,C0603,10,25V,N/A,"C11,C27,C31,C42,C53,C56",TDK, CGA3E1X7R1E105K080AD,REL,N/A,N/A,N/A,N/A,N/A,?,?
10,7,E013746,CAP CER 0.1uF 25V 10% X7R 0603, 0.1uF,C0603,10,25V,N/A,"C12,C28,C43,C48,C54,C55,C57",KEMET, C0603C104K3RACTU,REL,N/A,40302JH282,N/A,1285_CAB3,7002122,?,?
12,5,E024444,CAP CER 1uF 10V 10% X7R 0603, 1uF,C0603,10,10V,N/A,"C13,C15,C18,C22,C26",KEMET, C0603C105K8RACTU,REL,N/A,N/A,N/A,N/A,N/A,?,?
13,1,E033337,CAP CER 0.1uF 100V 10% X7R 0603, 0.1uF,C0603,10,100V,N/A,C2,SAMSUNG, CL10B104KC8NNNC,REL,N/A,N/A,N/A,N/A,N/A,?,?
14,1,E011705,CAP CER 1800pF 50V 5% C0G 0603, 1800pF,C0603,5,50V,N/A,C21,MURATA, GRM1885C1H182JA01D,REL,N/A,N/A,N/A,N/A,7002658,?,?
15,2,E032072,CAP CER 1000pF 50V 1% C0G 0402, 1000pF,C0402,1,50V,N/A,"C23,C24",MURATA, GRM1555C1H102FA01D,REL,N/A,N/A,N/A,N/A,N/A,?,?
18,3,E022190,CAP CER 4.7uF 16V 10% X6S 0603, 4.7uF,C0603,10,16V,N/A,"C32,C35",MURATA, GRM188C81C475KE11D,REL,N/A,N/A,N/A,N/A,N/A,?,?
19,1,E007959,CAP CER 47pF 100V 5% C0G 0603 ULTRA LOW ESR, 47pF,C0603,5,100V,N/A,C33,AVX, 06031U470JAT2A,REL,A004-0012-077,40302DG785,N/A,N/A,7003255,?,?
20,1,E033318,CAP CER 0.47uF 50V 10% X7R 0603, 0.47uF,C0603,10,50V,N/A,C34,TAIYO YUDEN, UMK107B7474KA-TR,REL,N/A,N/A,N/A,N/A,7002239,?,?
21,1,E030935,CAP CER 10uF 50V 10% X5R 1206 LOW ESR, 10uF,C1206H71,10,50V,N/A,C36,TDK, C3216X5R1H106K160AB,REL,N/A,N/A,N/A,N/A,N/A,?,?
22,3,E033617,CAP CER 2.2uF 16V 10% X7R 0805 AEC-Q200, 2.2uF,C0805H60,10,16V,N/A,"C37,C40,C47",MURATA, GCM21BR71C225KA64L,REL,N/A,N/A,N/A,N/A,N/A,?,?
23,1,E030886,CAP CER 1uF 50V 10% X7R 0805 AEC-Q200, 1uF,C0805H60,10,50V,N/A,C38,MURATA, GCM21BR71H105KA03L,REL,N/A,N/A,N/A,N/A,N/A,?,?
24,2,E031815,CAP CER 1000pF 50V 10% X8R 0603 EXTREME LOW ESR, 1000pF,C0603,10,50V,N/A,"C39,C60",KEMET, C0603C102K5HACTU,REL,N/A,N/A,N/A,N/A,N/A,?,?
25,1,E020928,CAP CER 10uF 10V 20% X5R 0402, 10uF,C0402,20,10V,N/A,C4,SAMSUNG, CL05A106MP5NUNC,REL,N/A,N/A,N/A,N/A,N/A,?,?
26,1,E025307,CAP CER 10uF 35V 10% X5R 0805 LOW ESR, 10uF,C0805H53,10,35V,N/A,C41,TDK, C2012X5R1V106K085AC,REL,N/A,N/A,N/A,N/A,N/A,?,?
27,1,E023176,CAP CER 0.47uF 16V 5% X7R 0603, 0.47uF,C0603,5,16V,N/A,C46,KEMET, C0603C474J4RACTU,REL,N/A,N/A,N/A,N/A,N/A,?,?
28,1,E029697,CAP CER 10uF 25V 10% X7S 0805, 10uF,C0805H53,10,25V,N/A,C45,MURATA, GRM21BC71E106KE11L,REL,N/A,N/A,N/A,N/A,N/A,?,?
30,1,E015600,CAP CER 3.3uF 10V 20% X5R 0402 LOW ESR, 3.3F,C0402,20,10V,N/A,C51,TDK,C1005X5R1A335M050BC,REL,N/A,N/A,N/A,N/A,N/A,?,?
31,1,E014229,CAP CER 1.5uF 25V 10% X5R 0603,1.5uF,C0603,10,25V,N/A,C52,TDK,C1608X5R1E155K080AB,REL,N/A,N/A,N/A,N/A,N/A,?,?
32,1,E030749,CAP CER 4.7uF 10V 10% X7S 0603 LOW ESR, 4.7uF,C0603,10,10V,N/A,C58,TDK, C1608X7S1A475K080AC,REL,N/A,N/A,N/A,N/A,N/A,?,?
